Unnamed: 0.1,Unnamed: 0,RA_ICRS,DE_ICRS,Source,Plx,PM,pmRA,pmDE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,GRVSmag,e_GRVSmag,BP-RP,BP-G,G-RP,pscol,Teff,Dist,Rad,Lum-Flame,Mass-Flame,Age-Flame,z-Flame,SpType-ELS
154944,54944,62.30020664617,57.95833916346,470101114200767360,0.1644,0.651,0.096,0.644,17.347033,0.002863,17.880825,0.011651,16.630903,0.008403,,,1.249922,0.533793,0.716129,,9657.4,3598.4473,1.2572,12.745313,,,0.70502526,B      
133704,33704,11.9744204758,60.74149975423,426970502864817792,0.2558,2.403,-2.265,-0.803,13.721626,0.002777,13.993258,0.003102,13.273814,0.00393,,,0.719443,0.271631,0.447812,,11294.3,3637.5015,3.9107,215.91934,3.409,0.22,0.47155386,B      
65626,65626,317.391504778,47.43419427774,2165246709341072768,0.4277,1.922,-0.827,-1.735,14.214016,0.002774,14.56459,0.002908,13.682414,0.003829,13.461831,0.096165,0.882175,0.350574,0.531602,1.5392,9377.0,1804.7231,1.9787,42.08355,2.352,0.442,0.5851419,A      
30455,30455,95.92335176119,35.89664569889,942761882866700416,0.943,6.946,1.11,-6.857,11.819773,0.002776,11.948791,0.002993,11.586792,0.003832,11.48791,0.030295,0.361999,0.129018,0.232981,,9041.8,975.0262,2.0757,28.38211,2.161,0.484,0.61677355,A      
140882,40882,1.70932555182,64.67953193193,432091993661587968,0.0562,2.143,-2.136,0.169,16.533958,0.002803,17.083717,0.006072,15.808708,0.00477,,,1.275009,0.549759,0.72525,,9702.4,4831.8374,2.5185,52.829308,2.479,0.396,0.4636345,B      
33433,33433,98.35076365943,78.16843434029,1140757096369712256,3.7285,9.638,-3.7,-8.899,7.101894,0.002781,7.10569,0.002875,7.063544,0.003836,7.028302,0.004822,0.042146,0.003795,0.038351,,9999.0,284.0201,3.9428,126.33359,2.975,0.323,0.4227799,A      
92432,92432,126.83489539148,-1.17107145193,3076191130859279488,0.7829,2.412,1.941,1.433,11.658953,0.00277,11.764891,0.002816,11.464359,0.003792,11.388993,0.014552,0.300531,0.105938,0.194593,,8035.9,1111.5109,2.4867,27.212467,2.071,0.794,0.52672744,A      
84375,84375,114.96671523124,-13.99400052924,3030436603743897344,0.6592,2.183,-1.734,1.328,11.288497,0.002781,11.410043,0.00282,11.065108,0.003799,10.950658,0.018744,0.344934,0.121546,0.223389,,9003.6,2010.3682,5.46,92.187126,2.735,0.429,0.35896397,A      
55276,55276,297.80682446367,32.92181570269,2034705267211246336,1.0668,2.857,-2.276,-1.726,10.967396,0.002768,11.120894,0.002856,10.693293,0.003806,10.5702,0.012614,0.427601,0.153498,0.274103,,7872.2,915.7149,3.2381,36.48576,2.199,0.757,0.3954539,A      
89347,89347,105.18990682803,-7.47982472329,3052443466413706496,0.8675,1.691,1.287,1.096,13.632898,0.003353,13.900432,0.00758,13.204756,0.005933,12.973063,0.067438,0.695676,0.267533,0.428143,,7310.5,1086.5432,1.4495,5.681967,1.518,0.486,0.57020324,A      
174462,74462,10.74148755096,64.46006487614,524066759803774720,0.0711,2.716,-2.692,-0.358,17.550653,0.003176,18.15831,0.010829,16.582937,0.007899,,,1.575373,0.607657,0.967716,,9608.5,3728.148,1.6262,18.546743,2.075,,0.5704172,B      
72359,72359,328.09099369678,63.55625469978,2216572977264037376,0.61,3.192,-3.175,-0.325,13.474662,0.002788,13.917591,0.00293,12.822912,0.003832,12.565927,0.036512,1.094679,0.442929,0.65175,,7312.6,2516.9846,5.1261,26.97844,2.044,0.947,0.29590645,A      
184387,84387,297.11420958217,20.31649679385,1825011735328015616,1.0259,4.391,-1.922,-3.948,11.151734,0.002774,11.27195,0.002834,10.923881,0.003789,,,0.348069,0.120215,0.227854,,10744.2,1040.0503,2.7699,76.69583,2.763,0.254,0.53633523,B      
80225,80225,95.21297099258,-17.61135096139,2943614973722935168,0.4249,6.112,-5.17,3.26,9.970603,0.00293,10.070438,0.00317,9.639036,0.004761,9.554927,0.022083,0.431402,0.099835,0.331567,,7169.2,247.7388,1.4809,5.0700254,1.481,0.602,0.4496046,A      
158094,58094,26.58774174948,59.48286853688,506508143221702656,0.2142,1.219,-1.218,0.051,15.264741,0.002767,15.529538,0.003025,14.82114,0.003904,,,0.708398,0.264797,0.443601,,10508.2,5613.0625,3.1044,125.49272,2.999,0.291,0.46681106,B      
113479,13479,71.27053527383,41.63067138641,203547712867592960,0.064,1.549,-0.272,-1.525,15.651213,0.002829,15.883786,0.003668,15.181612,0.004805,,,0.702174,0.232574,0.469601,,10365.5,3377.7622,1.5607,25.778929,,,0.70491344,B      
131927,31927,13.98000743817,55.18665366549,423425299408923520,0.4359,1.357,-1.041,-0.871,11.038636,0.002768,11.14773,0.002823,10.814958,0.003791,,,0.332772,0.109094,0.223679,,12770.6,2065.8215,5.1369,693.24316,4.486,,0.49696985,B      
143982,43982,39.30074964656,54.51186340217,454164861388125824,0.2278,1.269,-0.91,-0.884,13.325115,0.00277,13.496763,0.002869,12.998324,0.004044,,,0.498439,0.171648,0.326791,,10898.7,3718.541,4.074,236.8163,3.45,0.228,0.451559,B      
13296,13296,20.82534053609,45.33280996425,398013970783021440,4.1408,20.768,-9.703,-18.362,7.260586,0.002793,7.258071,0.002918,7.228746,0.003859,7.208096,0.006092,0.029325,-0.002515,0.03184,,9661.1,240.9526,3.1307,77.51647,2.671,0.394,0.4357465,A      
53522,53522,292.87096712802,28.34175147029,2026268233458037248,0.1187,4.362,-0.925,-4.262,13.582949,0.003419,13.918468,0.007346,13.069882,0.00697,12.873796,0.031085,0.848586,0.33552,0.513066,,7096.8,2227.5425,3.4654,27.514215,2.048,0.988,0.387363,A      
36343,36343,303.68649850972,18.56984173652,1810327998021829248,0.6223,5.093,-3.532,-3.67,13.698054,0.002762,13.95726,0.002837,13.281371,0.003812,13.051382,0.037102,0.675889,0.259206,0.416683,,7275.4,1736.2494,2.2036,9.84924,1.652,1.194,0.49071026,A      
118822,18822,64.7323306039,45.30388628176,232933741668871296,0.507,1.526,-0.35,1.485,13.65891,0.002783,13.983247,0.002885,13.152032,0.00382,,,0.831215,0.324337,0.506878,,10864.1,2274.284,2.8598,69.87015,2.737,0.219,0.5278554,B      
47061,47061,346.4213676458,48.94374879638,1984877461786087040,0.9683,8.761,-7.912,-3.763,10.850084,0.002808,11.016003,0.002831,10.540724,0.003791,10.406868,0.013062,0.475279,0.165918,0.309361,,8073.2,597.7512,2.3089,58.333706,2.427,0.615,0.49279454,A      
59372,59372,312.0909685415,40.03538480787,2065038039903786368,1.1054,9.308,-2.975,-8.819,12.296781,0.002822,12.470817,0.002867,11.925424,0.003798,11.792524,0.01809,0.545393,0.174036,0.371357,,7527.8,828.3431,1.7598,10.242776,1.683,0.984,0.6000654,A      
111382,11382,78.22262708375,41.84664230365,201173519367555584,0.2678,1.485,0.147,-1.477,15.35964,0.002776,15.610319,0.003527,14.942288,0.004264,,,0.668031,0.250679,0.417352,,9746.7,4799.5127,2.5478,25.094795,2.201,,0.4862828,B      
122648,22648,76.6839318014,48.17928311433,255213828677517568,0.1874,1.036,0.876,-0.553,13.849232,0.002768,14.055952,0.002899,13.496333,0.003821,,,0.559619,0.20672,0.352899,,10543.5,5815.5845,5.3501,196.50261,3.297,0.257,0.41182244,B      
112103,12103,74.90486791207,41.92642154193,201775089669124224,0.0751,0.513,0.363,-0.362,16.924578,0.00284,17.232737,0.008075,16.452997,0.0054,,,0.779739,0.308159,0.471581,,9679.0,4991.096,1.4114,16.619457,,,0.840204,B      
165478,65478,29.02579331696,62.92857468197,511869155759118720,0.3121,2.542,-2.465,0.62,14.762295,0.002764,15.094049,0.002923,14.245324,0.003854,,,0.848725,0.331755,0.516971,,9927.5,5343.5273,4.2929,50.75045,2.489,0.335,0.41398394,B      
141941,41941,51.55351107557,52.18605262566,443143013230832896,0.3232,1.732,-1.263,-1.185,15.360621,0.002773,15.825098,0.003481,14.709664,0.003982,,,1.115434,0.464478,0.650956,,9960.0,4133.834,3.1709,43.68652,2.428,0.302,0.44976187,B      
114037,14037,70.20027545477,42.59848416576,204442371733059072,0.3361,1.375,-0.084,-1.373,13.104941,0.002763,13.413253,0.002918,12.613998,0.003805,,,0.799254,0.308311,0.490943,,12083.7,2310.8013,3.4411,300.57175,3.711,,0.48400933,B      
75820,75820,336.55105628562,7.48758820064,2710310288615888768,1.1648,15.765,-9.216,-12.791,11.782822,0.00277,11.964281,0.002903,11.473534,0.003835,11.350078,0.014982,0.490747,0.181459,0.309288,,8038.7,824.9926,2.0763,16.226765,1.87,0.801,0.5245073,A      
79055,79055,104.160868112,-20.38789883852,2932280623754649728,0.8032,3.463,-3.344,0.897,11.78253,0.002771,11.87124,0.002824,11.610077,0.003794,11.51384,0.011904,0.261163,0.08871,0.172453,,9311.0,1120.2777,2.21,36.979637,2.288,0.454,0.5725144,A      
168607,68607,36.47281168132,63.29043641796,514285057683944192,0.5338,0.535,-0.265,-0.465,14.264027,0.002764,14.516493,0.002852,13.69374,0.003812,,,0.822753,0.252466,0.570287,,10098.4,1604.8574,1.6047,28.223637,2.278,,0.7849883,B      
53007,53007,294.3521400775,25.11556637972,2021450826340893568,0.2675,3.415,-0.577,-3.366,14.826058,0.002777,15.512116,0.003093,14.013394,0.003888,13.569078,0.205131,1.498722,0.686058,0.812664,,7786.5,2152.7874,3.1769,86.9423,2.578,0.554,0.44354194,A      
169633,69633,32.77013338545,64.05660292141,514999121769242240,0.1406,0.856,-0.853,0.07,15.416841,0.002768,15.767254,0.003245,14.871494,0.00393,,,0.89576,0.350413,0.545346,,13053.4,2884.0713,1.5449,65.55585,,,0.927405,B      
63180,63180,286.87165224043,36.25979317177,2098710484725569280,2.8078,13.286,11.383,-6.852,8.581118,0.002769,8.676878,0.002823,8.382596,0.003792,8.292981,0.006637,0.294282,0.09576,0.198522,,7841.2,337.5534,3.2251,35.176586,2.173,0.819,0.23940842,A      
136241,36241,3.22970627285,62.00643786324,429757867918512128,0.2812,3.063,-2.918,-0.933,15.188101,0.002769,15.641444,0.003117,14.538602,0.003988,,,1.102842,0.453343,0.649499,,10355.2,6008.0527,4.8221,71.00537,2.684,0.308,0.3591506,B      
77338,77338,101.67185052225,-25.8236765366,2920261415469137280,3.3641,12.354,-9.032,8.429,10.112804,0.002762,10.253642,0.002805,9.854301,0.003783,9.758068,0.011821,0.399341,0.140838,0.258503,,7472.5,306.5667,1.5776,6.1730165,1.523,0.796,0.5362194,A      
