Unnamed: 0.1,Unnamed: 0,RA_ICRS,DE_ICRS,Source,Plx,PM,pmRA,pmDE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,GRVSmag,e_GRVSmag,BP-RP,BP-G,G-RP,pscol,Teff,Dist,Rad,Lum-Flame,Mass-Flame,Age-Flame,z-Flame,SpType-ELS
143167,43167,56.50738557683,57.31207540733,448865558939244928,0.1799,0.296,-0.256,0.149,16.675682,0.002804,17.174305,0.006171,15.994052,0.005064,,,1.180253,0.498623,0.68163,,9708.9,5898.2974,2.6706,53.246082,2.488,0.388,0.47782323,B      
113941,13941,69.70020413109,43.03184227108,204328228682288896,0.176,0.4,0.15,0.37,15.89494,0.002779,16.37563,0.003814,15.236329,0.004114,,,1.1393,0.480689,0.658611,,9982.0,2697.3513,1.6385,29.523909,2.266,,0.6870607,B      
178932,78932,102.50449653402,36.39126249656,940629689302785280,0.0612,0.986,0.18,-0.97,16.654478,0.002938,16.6847,0.006593,16.627502,0.008131,,,0.057198,0.030222,0.026976,,9991.9,6025.205,1.0262,9.352271,,,0.8751093,B      
152440,52440,43.01500786446,62.00169835993,466496189234060544,0.292,0.865,-0.864,-0.014,15.16466,0.002768,15.511175,0.003184,14.61595,0.00396,,,0.895226,0.346515,0.548711,,10078.3,4738.294,3.2844,42.681774,2.43,0.279,0.44998354,B      
33765,33765,216.63537432072,29.11997150332,1283977178899988096,2.366,28.159,-24.834,13.273,9.99048,0.002766,10.083075,0.002821,9.808619,0.003786,9.712062,0.005663,0.274456,0.092594,0.181862,,7871.8,446.9224,2.1935,14.575945,1.817,0.874,0.38599095,A      
139337,39337,4.22159324115,63.11006822334,431387064971676288,0.1891,1.905,-1.824,-0.547,14.590605,0.002777,15.002771,0.003749,13.949827,0.004489,,,1.052944,0.412167,0.640778,,12781.6,4965.919,4.4118,406.23654,4.024,,0.5058888,B      
92030,92030,123.36942508785,-5.80421447704,3064486516048361216,1.3473,1.724,-1.346,1.076,9.550278,0.002771,9.575392,0.002855,9.477856,0.003791,9.427156,0.005066,0.097536,0.025114,0.072422,,9741.8,804.7608,3.7669,97.68805,2.804,0.367,0.49653012,A      
59953,59953,306.29398025655,43.77851529545,2069276970767687424,1.4258,9.403,2.108,-9.164,10.087733,0.00277,10.193292,0.002837,9.884928,0.003787,9.796304,0.008607,0.308364,0.105558,0.202806,,8274.0,726.1216,3.4568,46.86891,2.335,0.636,0.37535268,A      
47002,47002,342.57502462371,46.91990302711,1984233319769036928,0.7078,1.643,-0.263,-1.622,11.342435,0.002771,11.481915,0.002841,11.087966,0.003788,10.972444,0.015034,0.393949,0.13948,0.254469,,8771.4,1541.1808,4.2885,73.60038,2.595,0.489,0.372269,A      
86423,86423,115.85716516145,-10.48008062377,3040200365775097728,1.5179,10.62,-10.316,2.524,11.710736,0.002763,11.839341,0.00284,11.474893,0.003801,11.329187,0.013396,0.364449,0.128605,0.235844,,8105.2,616.2982,1.4427,8.772447,1.697,0.217,0.5986888,A      
80388,80388,103.13335881966,-16.24540081767,2946391412382346240,0.4967,4.51,-2.164,3.957,14.958324,0.002766,15.500545,0.003146,14.247903,0.0039,14.036167,0.146354,1.252642,0.542221,0.710421,,7959.7,1419.1353,1.6351,14.160665,1.793,1.002,0.27378377,A      
130647,30647,19.60553336612,58.6558593452,413902429211511168,0.3146,1.765,-1.598,-0.749,15.03455,0.002764,15.276718,0.002949,14.634139,0.00385,,,0.642579,0.242168,0.400411,,9937.7,3299.96,1.9633,26.73121,2.225,,0.5661412,B      
171751,71751,24.33214823567,65.78026800238,519322710722564992,-0.0659,1.326,-1.189,0.587,16.15394,0.002868,16.74728,0.00429,15.362414,0.004043,,,1.384866,0.59334,0.791526,,10796.9,2882.2163,1.8578,,,,,B      
16012,16012,10.18054498971,58.83923291174,425352051800819456,1.0617,7.805,6.883,-3.68,11.973736,0.002761,12.232759,0.002815,11.558233,0.003789,11.379487,0.011785,0.674525,0.259023,0.415503,,7499.7,917.6942,2.5515,18.632372,1.891,1.034,0.45988485,A      
